
//DSotSC Area Links Table
SRC_AREA  SRC_NWSE  TARGET_ARE  ENTRY_NAME  TRV_TIME  DEF_ENTRY  ENC1     ENC2     ENC3     ENC4     ENC5     ENC_PROB

BG2400    E         DSC001      Exit2400    3         8          BG6000   BG6001   N        N        N        30

DSC001    N         BG1900      Exit2400    4         1          BG5601   BG5701   BG6001   BG5801   BG6000   10
DSC001    W         BG2400      EXITC001    3         4          BG5601   BG5701   BG6001   BG5801   BG6000   10
DSC001    S         BG3000      Exit3500    1         2          BG5601   BG5701   BG6001   BG5801   BG6000   10
DSC001    S         BG3500      Exit3000    1         2          BG5601   BG5701   BG6001   BG5801   BG6000   10
DSC001    E         DSC002      EXITC001    1         2          BG6000   BG5601   BG5701   BG6001   BG5801   10

DSC002    S         BG0500      Exit0400    2         1          BG6001   BG5801   BG6000   BG5601   BG5701   10
DSC002    W         DSC001      EXITC002    1         2          BG5801   BG6000   BG5601   BG5701   BG6001   10
DSC002    N         DSC004      EXITC002    1         2          BG6001   BG5801   BG6000   BG5601   BG5701   10
DSC002    S         DSC010      Exit5500    8         1          BG5801   BG6000   BG5601   BG5701   BG6001   10

DSC004    W         BG1900      Exit2400    4         1          BG5701   BG6001   BG5801   BG6000   BG5601   10
DSC004    S         DSC002      EXITC004    1         2          BG6000   BG5601   BG5701   BG6001   BG5801   10

DSC010    E         BG4500      Exit5000    2         3          BG5701   BG6001   BG5801   BG6000   BG5601   10
DSC010    E         BG5000      Exit5500    2         3          BG6001   BG5801   BG6000   BG5601   BG5701   10
DSC010    E         DSC002      EXITC001    8         2          BG5801   BG6000   BG5601   BG5701   BG6001   10
