
Patching EET_modConverter/Input/bgt/dsc006.are: are = AR4600 => BG5500 - 0x328
Patching EET_modConverter/Input/bgt/dsc006.are: exit = EXIT46 => EXIT55 - 0x84c
Patching EET_modConverter/Input/bgt/dsc006.are: MUSIC = 17 => 121 - 0x1c10
Patching EET_modConverter/Input/bgt/dsc006.are: MUSIC = 17 => 121 - 0x1c14
Patching EET_modConverter/Input/bgt/dsc010.are: are = ARD000 => BG0500 - 0x8
Patching EET_modConverter/Input/bgt/dsc010.are: door = DOORD0 => DOOR05 - 0x1b14
Patching EET_modConverter/Input/bgt/dsc010.are: exit = EXITD0 => EXIT05 - 0x1b54
Patching EET_modConverter/Input/bgt/dsc010.are: door = DOORD0 => DOOR05 - 0x1bd8
Patching EET_modConverter/Input/bgt/dsc010.are: exit = EXITD0 => EXIT05 - 0x1c18
Patching EET_modConverter/Input/bgt/dsc010.are: door = DOORD0 => DOOR05 - 0x1c9c
Patching EET_modConverter/Input/bgt/dsc010.are: exit = EXITD0 => EXIT05 - 0x1cdc
Patching EET_modConverter/Input/bgt/dsc010.are: door = DOORD0 => DOOR05 - 0x1d60
Patching EET_modConverter/Input/bgt/dsc010.are: exit = EXITD0 => EXIT05 - 0x1da0
Patching EET_modConverter/Input/bgt/dsc010.are: exit = EXIT46 => EXIT55 - 0x2204
Patching EET_modConverter/Input/bgt/dsc010.are: exit = EXITD0 => EXIT05 - 0x233c
Patching EET_modConverter/Input/bgt/dsc010.are: exit = EXITD0 => EXIT05 - 0x23a4
Patching EET_modConverter/Input/bgt/dsc010.are: exit = EXITD0 => EXIT05 - 0x240c
Patching EET_modConverter/Input/bgt/dsc010.are: exit = EXITD0 => EXIT05 - 0x2474
Patching EET_modConverter/Input/bgt/dsc010.are: MUSIC = 31 => 134 - 0x3370
Patching EET_modConverter/Input/bgt/dsc010.are: MUSIC = 31 => 134 - 0x3374
Patching EET_modConverter/Input/bgt/dsc010.are: MUSIC = 25 => 129 - 0x337c
Patching EET_modConverter/Input/bgt/nostring/dsc001.are: are = AR4300 => BG5300 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc001.are: exit = EXIT89 => EXIT24 - 0x1a30
Patching EET_modConverter/Input/bgt/nostring/dsc001.are: MUSIC = 7 => 112 - 0x2e34
Patching EET_modConverter/Input/bgt/nostring/dsc001.are: MUSIC = 8 => 113 - 0x2e38
Patching EET_modConverter/Input/bgt/nostring/dsc001.are: MUSIC = 26 => 130 - 0x2e40
Patching EET_modConverter/Input/bgt/nostring/dsc002.are: are = AR3100 => BG4200 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc002.are: MUSIC = 9 => 114 - 0x1710
Patching EET_modConverter/Input/bgt/nostring/dsc002.are: MUSIC = 10 => 115 - 0x1714
Patching EET_modConverter/Input/bgt/nostring/dsc002.are: MUSIC = 27 => 131 - 0x171c
Patching EET_modConverter/Input/bgt/nostring/dsc003.are: are = AR3707 => BG4807 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc004.are: are = AR3300 => BG4400 - 0x8
